CodMun,CodMeso,MesoRegiao,NomeMun,UF,PopEst,Barco,Metro,Mototx,Taxi,Trem,Van,Aviao,ImpacAmb_24meses,Secas_Enxurr,PoluiAr,Polui_corpoAgua,Assorea_corpoAgua,DiminVazao_corpoAgua,Desmatam,Queimad,Erosao_Desert,Dimin_FaunaFlora,MoradRiscoAmb,FaltaSaneamen,Favela,Cortico,LoteIrr,Ocupacao,AtingidoPorSeca_4a,AtingPorAlagam_4a,AtingPorErosao_4a,AtingPorEnchen_4a,AtingPorEnxurr_4a,AtingPorDeslizam_4a,Rede,TxAprv_1-5 ,TxAprv_1,TxAprv_2,TxAprv_3,TxAprv_4,TxAprv_5,IndRend_P,Mat,Port,NtMedPadr_N,IDEB_NxP,FUNDEB,Total Matriculados,Custo Aluno
3102209,3108,Vale do Rio Doce,Alvarenga,MG,4199,Não,Não,Não,Sim,Não,Sim,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Não,Não,Não,Estadual,100.0,100.0,100.0,100.0,100.0,100.0,1.00,250.58,239.61,7.10,7.1,1326459.15,412.0,3219.56
3102209,3108,Vale do Rio Doce,Alvarenga,MG,4199,Não,Não,Não,Sim,Não,Sim,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Não,Não,Não,Pública,99.4,100.0,100.0,100.0,100.0,97.4,0.99,250.58,239.61,7.10,7.1,1326459.15,412.0,3219.56
3102308,3107,Metropolitana de Belo Horizonte,Alvinópolis,MG,15599,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Sim,Não,Sim,Não,Não,Não,-,-,-,-,Não,Não,Não,Não,Não,Não,Estadual,98.5,97.7,100.0,98.0,100.0,97.2,0.99,223.89,211.16,6.08,6.0,2772398.31,890.0,3115.05
3102308,3107,Metropolitana de Belo Horizonte,Alvinópolis,MG,15599,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Sim,Não,Sim,Não,Não,Não,-,-,-,-,Não,Não,Não,Não,Não,Não,Municipal,99.8,100.0,100.0,100.0,100.0,99.0,1.00,237.06,220.11,6.49,6.5,2772398.31,890.0,3115.05
3102308,3107,Metropolitana de Belo Horizonte,Alvinópolis,MG,15599,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Sim,Não,Sim,Não,Não,Não,-,-,-,-,Não,Não,Não,Não,Não,Não,Pública,99.1,98.7,100.0,98.8,100.0,98.1,0.99,229.65,215.08,6.26,6.2,2772398.31,890.0,3115.05
3102407,3107,Metropolitana de Belo Horizonte,Alvorada de Minas,MG,3673,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Estadual,100.0,100.0,100.0,100.0,100.0,100.0,1.00,202.81,180.18,5.11,5.1,1211239.16,381.0,3179.11
3102407,3107,Metropolitana de Belo Horizonte,Alvorada de Minas,MG,3673,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Pública,100.0,100.0,100.0,100.0,100.0,100.0,1.00,202.81,180.18,5.11,5.1,1211239.16,381.0,3179.11
3101508,3112,Zona da Mata,Além Paraíba,MG,35866,Não,Não,Sim,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Estadual,99.6,100.0,100.0,97.9,100.0,100.0,1.00,205.97,198.80,5.51,5.5,9892361.29,3014.0,3282.14
3101508,3112,Zona da Mata,Além Paraíba,MG,35866,Não,Não,Sim,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Municipal,94.9,98.5,100.0,81.2,99.4,95.4,0.94,226.20,222.55,6.33,6.0,9892361.29,3014.0,3282.14
3101508,3112,Zona da Mata,Além Paraíba,MG,35866,Não,Não,Sim,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Pública,95.5,98.7,100.0,83.5,99.5,96.1,0.95,222.75,218.50,6.19,5.9,9892361.29,3014.0,3282.14
