Mun,MesoRegiao,Cod_Meso
Inimutaba,Central Mineira,3106
Ipaba,Vale do Rio Doce,3108
Ipanema,Vale do Rio Doce,3108
Ipatinga,Vale do Rio Doce,3108
Ipiaçu,Triângulo Mineiro / Alto Paranaíba,3105
Ipuiúna,Sul / Sudoeste de Minas,3110
Iraí de Minas,Triângulo Mineiro / Alto Paranaíba,3105
Itabira,Metropolitana de Belo Horizonte,3107
Itabirinha,Vale do Rio Doce,3108
Itabirito,Metropolitana de Belo Horizonte,3107
Itacambira,Norte de Minas,3102
Itacarambi,Norte de Minas,3102
Itaguara,Metropolitana de Belo Horizonte,3107
Itaipé,Vale do Mucuri,3104
Itajubá,Sul / Sudoeste de Minas,3110
Itamarandiba,Jequitinhonha,3103
Itamarati de Minas,Zona da Mata,3112
Itambacuri,Vale do Rio Doce,3108
Itambé do Mato Dentro,Metropolitana de Belo Horizonte,3107
Itamogi,Sul / Sudoeste de Minas,3110
Itamonte,Sul / Sudoeste de Minas,3110
Itanhandu,Sul / Sudoeste de Minas,3110
Itanhomi,Vale do Rio Doce,3108
Itaobim,Jequitinhonha,3103
Itapagipe,Triângulo Mineiro / Alto Paranaíba,3105
Itapecerica,Oeste de Minas,3109
Itapeva,Sul / Sudoeste de Minas,3110
Itatiaiuçu,Metropolitana de Belo Horizonte,3107
Itaú de Minas,Sul / Sudoeste de Minas,3110
Itaúna,Oeste de Minas,3109
Itaverava,Metropolitana de Belo Horizonte,3107
Itinga,Jequitinhonha,3103
Itueta,Vale do Rio Doce,3108
Ituiutaba,Triângulo Mineiro / Alto Paranaíba,3105
Itumirim,Campo das Vertentes,3111
Iturama,Triângulo Mineiro / Alto Paranaíba,3105
Itutinga,Campo das Vertentes,3111
Jaboticatubas,Metropolitana de Belo Horizonte,3107
Jacinto,Jequitinhonha,3103
Jacuí,Sul / Sudoeste de Minas,3110
Jacutinga,Sul / Sudoeste de Minas,3110
Jaguaraçu,Vale do Rio Doce,3108
Jaíba,Norte de Minas,3102
Jampruca,Vale do Rio Doce,3108
Janaúba,Norte de Minas,3102
Januária,Norte de Minas,3102
Japaraíba,Central Mineira,3106
Japonvar,Norte de Minas,3102
Jeceaba,Metropolitana de Belo Horizonte,3107
Jenipapo de Minas,Jequitinhonha,3103
Jequeri,Zona da Mata,3112
Jequitaí,Norte de Minas,3102
Jequitibá,Metropolitana de Belo Horizonte,3107
Jequitinhonha,Jequitinhonha,3103
Jesuânia,Sul / Sudoeste de Minas,3110
Joaíma,Jequitinhonha,3103
Joanésia,Vale do Rio Doce,3108
João Monlevade,Metropolitana de Belo Horizonte,3107
João Pinheiro,Noroeste de Minas,3101
Joaquim Felício,Central Mineira,3106
Jordânia,Jequitinhonha,3103
José Gonçalves de Minas,Jequitinhonha,3103
José Raydan,Vale do Rio Doce,3108
Josenópolis,Norte de Minas,3102
Juatuba,Metropolitana de Belo Horizonte,3107
Juiz de Fora,Zona da Mata,3112
Juramento,Norte de Minas,3102
Juruaia,Sul / Sudoeste de Minas,3110
Juvenília,Norte de Minas,3102
Ladainha,Vale do Mucuri,3104
Lagamar,Noroeste de Minas,3101
Lagoa da Prata,Central Mineira,3106
Lagoa dos Patos,Norte de Minas,3102
Lagoa Dourada,Campo das Vertentes,3111
Lagoa Formosa,Triângulo Mineiro / Alto Paranaíba,3105
Lagoa Grande,Noroeste de Minas,3101
Lagoa Santa,Metropolitana de Belo Horizonte,3107
Lajinha,Zona da Mata,3112
Lambari,Sul / Sudoeste de Minas,3110
Lamim,Zona da Mata,3112
Laranjal,Zona da Mata,3112
Lassance,Norte de Minas,3102
Lavras,Campo das Vertentes,3111
Leandro Ferreira,Central Mineira,3106
Leme do Prado,Jequitinhonha,3103
Leopoldina,Zona da Mata,3112
Liberdade,Sul / Sudoeste de Minas,3110
Lima Duarte,Zona da Mata,3112
Limeira do Oeste,Triângulo Mineiro / Alto Paranaíba,3105
Lontra,Norte de Minas,3102
Luisburgo,Zona da Mata,3112
Luislândia,Norte de Minas,3102
Luminárias,Campo das Vertentes,3111
Luz,Central Mineira,3106
Machacalis,Vale do Mucuri,3104
Machado,Sul / Sudoeste de Minas,3110
Madre de Deus de Minas,Campo das Vertentes,3111
Malacacheta,Vale do Mucuri,3104
Mamonas,Norte de Minas,3102
Manga,Norte de Minas,3102
Manhuaçu,Zona da Mata,3112
Manhumirim,Zona da Mata,3112
Mantena,Vale do Rio Doce,3108
Mar de Espanha,Zona da Mata,3112
Maravilhas,Metropolitana de Belo Horizonte,3107
Maria da Fé,Sul / Sudoeste de Minas,3110
Mariana,Metropolitana de Belo Horizonte,3107
Marilac,Vale do Rio Doce,3108
Mário Campos,Metropolitana de Belo Horizonte,3107
Maripá de Minas,Zona da Mata,3112
Marliéria,Vale do Rio Doce,3108
Marmelópolis,Sul / Sudoeste de Minas,3110
Martinho Campos,Central Mineira,3106
Martins Soares,Zona da Mata,3112
Mata Verde,Jequitinhonha,3103
Materlândia,Vale do Rio Doce,3108
Mateus Leme,Metropolitana de Belo Horizonte,3107
Mathias Lobato,Vale do Rio Doce,3108
Matias Barbosa,Zona da Mata,3112
Matias Cardoso,Norte de Minas,3102
Matipó,Zona da Mata,3112
Mato Verde,Norte de Minas,3102
Matozinhos,Metropolitana de Belo Horizonte,3107
Matutina,Triângulo Mineiro / Alto Paranaíba,3105
Medeiros,Oeste de Minas,3109
Medina,Jequitinhonha,3103
Mendes Pimentel,Vale do Rio Doce,3108
Mercês,Zona da Mata,3112
Mesquita,Vale do Rio Doce,3108
Minas Novas,Jequitinhonha,3103
Minduri,Sul / Sudoeste de Minas,3110
Mirabela,Norte de Minas,3102
Miradouro,Zona da Mata,3112
Miraí,Zona da Mata,3112
Miravânia,Norte de Minas,3102
Moeda,Metropolitana de Belo Horizonte,3107
Moema,Central Mineira,3106
Monjolos,Central Mineira,3106
Monsenhor Paulo,Sul / Sudoeste de Minas,3110
Montalvânia,Norte de Minas,3102
Monte Alegre de Minas,Triângulo Mineiro / Alto Paranaíba,3105
Monte Azul,Norte de Minas,3102
Monte Belo,Sul / Sudoeste de Minas,3110
Monte Carmelo,Triângulo Mineiro / Alto Paranaíba,3105
Monte Formoso,Jequitinhonha,3103
Monte Santo de Minas,Sul / Sudoeste de Minas,3110
Monte Sião,Sul / Sudoeste de Minas,3110
Montes Claros,Norte de Minas,3102
Montezuma,Norte de Minas,3102
Morada Nova de Minas,Central Mineira,3106
Morro da Garça,Central Mineira,3106
Morro do Pilar,Metropolitana de Belo Horizonte,3107
Munhoz,Sul / Sudoeste de Minas,3110
Muriaé,Zona da Mata,3112
Mutum,Vale do Rio Doce,3108
Muzambinho,Sul / Sudoeste de Minas,3110
Nacip Raydan,Vale do Rio Doce,3108
Nanuque,Vale do Mucuri,3104
Naque,Vale do Rio Doce,3108
Natalândia,Noroeste de Minas,3101
Natércia,Sul / Sudoeste de Minas,3110
Nazareno,Campo das Vertentes,3111
Nepomuceno,Campo das Vertentes,3111
Ninheira,Norte de Minas,3102
Nova Belém,Vale do Rio Doce,3108
Nova Era,Metropolitana de Belo Horizonte,3107
Nova Lima,Metropolitana de Belo Horizonte,3107
Nova Módica,Vale do Rio Doce,3108
Nova Ponte,Triângulo Mineiro / Alto Paranaíba,3105
Nova Porteirinha,Norte de Minas,3102
Nova Resende,Sul / Sudoeste de Minas,3110
Nova Serrana,Oeste de Minas,3109
Nova União,Metropolitana de Belo Horizonte,3107
Novo Cruzeiro,Jequitinhonha,3103
Novo Oriente de Minas,Vale do Mucuri,3104
Novorizonte,Norte de Minas,3102
Olaria,Zona da Mata,3112
Olhos-dÁgua,Norte de Minas,3102
Olímpio Noronha,Sul / Sudoeste de Minas,3110
Oliveira,Oeste de Minas,3109
Oliveira Fortes,Zona da Mata,3112
Onça de Pitangui,Metropolitana de Belo Horizonte,3107
