REGIAO,COD UF,UF,NOME MUNIC,POP EST,CLASSE POP,Rede,Taxa de Aprovação - 2017,"IDEB
2017
(N x P)"
3 - Sudeste,31,MG,Leandro Ferreira,3300,1 - Até 5000,Pública,"100,0","7,0"
3 - Sudeste,31,MG,Leme do Prado,4998,1 - Até 5000,Estadual,"100,0","7,2"
3 - Sudeste,31,MG,Leme do Prado,4998,1 - Até 5000,Municipal,-,-
3 - Sudeste,31,MG,Leme do Prado,4998,1 - Até 5000,Pública,"99,4","7,2"
3 - Sudeste,31,MG,Leopoldina,53354,5 - 50001 até 100000,Estadual,"98,9","5,6"
3 - Sudeste,31,MG,Leopoldina,53354,5 - 50001 até 100000,Municipal,"99,5","5,7"
3 - Sudeste,31,MG,Leopoldina,53354,5 - 50001 até 100000,Pública,"99,3","5,7"
3 - Sudeste,31,MG,Liberdade,5296,2 - 5001 até 10000,Estadual,-,-
3 - Sudeste,31,MG,Liberdade,5296,2 - 5001 até 10000,Municipal,"93,9","6,3"
3 - Sudeste,31,MG,Liberdade,5296,2 - 5001 até 10000,Pública,"93,9","6,3"
3 - Sudeste,31,MG,Lima Duarte,16910,3 - 10001 até 20000,Estadual,-,-
3 - Sudeste,31,MG,Lima Duarte,16910,3 - 10001 até 20000,Municipal,"96,4","6,0"
3 - Sudeste,31,MG,Lima Duarte,16910,3 - 10001 até 20000,Pública,"96,4","6,0"
3 - Sudeste,31,MG,Limeira do Oeste,7487,2 - 5001 até 10000,Municipal,"93,6","5,8"
3 - Sudeste,31,MG,Limeira do Oeste,7487,2 - 5001 até 10000,Pública,"93,6","5,8"
3 - Sudeste,31,MG,Lontra,9044,2 - 5001 até 10000,Estadual,"100,0","6,5"
3 - Sudeste,31,MG,Lontra,9044,2 - 5001 até 10000,Municipal,"100,0","5,6"
3 - Sudeste,31,MG,Lontra,9044,2 - 5001 até 10000,Pública,"100,0","6,2"
3 - Sudeste,31,MG,Luisburgo,6409,2 - 5001 até 10000,Municipal,"96,3","6,4"
3 - Sudeste,31,MG,Luisburgo,6409,2 - 5001 até 10000,Pública,"96,3","6,4"
3 - Sudeste,31,MG,Luislândia,6756,2 - 5001 até 10000,Estadual,"99,7","6,2"
3 - Sudeste,31,MG,Luislândia,6756,2 - 5001 até 10000,Municipal,-,-
3 - Sudeste,31,MG,Luislândia,6756,2 - 5001 até 10000,Pública,"99,6","6,2"
3 - Sudeste,31,MG,Luminárias,5572,2 - 5001 até 10000,Municipal,"100,0","7,4"
3 - Sudeste,31,MG,Luminárias,5572,2 - 5001 até 10000,Pública,"100,0","7,4"
3 - Sudeste,31,MG,Luz,18400,3 - 10001 até 20000,Estadual,"100,0","6,4"
