CodMun,REGIAO,COD_UF,UF,NOME_MUNIC,POP_EST,CLASSE_POP,Barco,Metro,Mototx,Taxi,Trem,Van,Aviao,ImpacAmb_24meses,Secas_Enxurr,PoluiAr,Polui_corpoAgua,Assorea_corpoAgua,DiminVazao_corpoAgua,Desmatam,Queimad,Erosao_Desert,Dimin_FaunaFlora,MoradRiscoAmb,FaltaSaneamen,Favela,Cortico,Lote_Irr,Ocupacao,AtingidoPorSeca_4a,AtingidoPorAlagam_4a,AtingidoPorErosao_4a,AtingidoPorEnchente_4a,AtingidoPorEnxurrada_4a,AtingidoPorDeslizam_4a
3104304,3 - Sudeste,31,MG,Areado,14956,3 - 10001 até 20000,Não,Não,Não,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
3104403,3 - Sudeste,31,MG,Argirita,2859,1 - Até 5000,Não,Não,Não,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Não,Não,Não sabe
3104452,3 - Sudeste,31,MG,Aricanduva,5192,2 - 5001 até 10000,Não,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim
3104502,3 - Sudeste,31,MG,Arinos,18243,3 - 10001 até 20000,Não,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
3104601,3 - Sudeste,31,MG,Astolfo Dutra,14118,3 - 10001 até 20000,Não,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,-,-,-,-,Sim,Não,Não,Não,Não,Não
3104700,3 - Sudeste,31,MG,Ataléia,13762,3 - 10001 até 20000,Não,Não,Sim,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Sim,Não,Sim,Não,Não sabe,Não,Não,Não
3104809,3 - Sudeste,31,MG,Augusto de Lima,5023,2 - 5001 até 10000,Não,Não,Não,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
3104908,3 - Sudeste,31,MG,Baependi,19315,3 - 10001 até 20000,Não,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Sim
3105004,3 - Sudeste,31,MG,Baldim,8051,2 - 5001 até 10000,Não,Não,Sim,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não
3105103,3 - Sudeste,31,MG,Bambuí,24018,4 - 20001 até 50000,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não
3105202,3 - Sudeste,31,MG,Bandeira,4984,1 - Até 5000,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
3105301,3 - Sudeste,31,MG,Bandeira do Sul,5739,2 - 5001 até 10000,Não,Não,Sim,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Não,Não,Não
3105400,3 - Sudeste,31,MG,Barão de Cocais,31968,4 - 20001 até 50000,Não,Não,Sim,Sim,Sim,Sim,Não,Não,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Não,Não
3105509,3 - Sudeste,31,MG,Barão de Monte Alto,5648,2 - 5001 até 10000,Não,Não,Não,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
3105608,3 - Sudeste,31,MG,Barbacena,136689,6 - 100001 até 500000,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim
3105707,3 - Sudeste,31,MG,Barra Longa,5624,2 - 5001 até 10000,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,-,-,-,-,Sim,Não,Não,Não,Não,Não
3105905,3 - Sudeste,31,MG,Barroso,20882,4 - 20001 até 50000,Não,Não,Não,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Não,Não,Não
3106002,3 - Sudeste,31,MG,Bela Vista de Minas,10416,3 - 10001 até 20000,Não,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Sim,Sim
3106101,3 - Sudeste,31,MG,Belmiro Braga,3503,1 - Até 5000,Não,Não,Não,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Não,Não,Não
3106200,3 - Sudeste,31,MG,Belo Horizonte,2523794,7 - Maior que 500000,Não,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim
3106309,3 - Sudeste,31,MG,Belo Oriente,26158,4 - 20001 até 50000,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não
3106408,3 - Sudeste,31,MG,Belo Vale,7841,2 - 5001 até 10000,Não,Não,Não,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Não,Não,Não
3106507,3 - Sudeste,31,MG,Berilo,12360,3 - 10001 até 20000,Sim,Não,Não,Sim,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Não,Não
3106606,3 - Sudeste,31,MG,Bertópolis,4678,1 - Até 5000,-,-,-,-,-,-,-,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
3106655,3 - Sudeste,31,MG,Berizal,4720,1 - Até 5000,-,-,-,-,-,-,-,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,-,-,-,-,Sim,Não,Sim,Não,Não,Não
3106705,3 - Sudeste,31,MG,Betim,427146,6 - 100001 até 500000,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Sim
3106804,3 - Sudeste,31,MG,Bias Fortes,3613,1 - Até 5000,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Não,Sim,Sim,Não
3106903,3 - Sudeste,31,MG,Bicas,14545,3 - 10001 até 20000,Não,Não,Não,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Sim,Não,Não sabe,Sim,Sim,Sim,Sim,Sim
3107000,3 - Sudeste,31,MG,Biquinhas,2619,1 - Até 5000,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,-,-,-,-,Sim,Não,Não,Não,Não,Não
3107109,3 - Sudeste,31,MG,Boa Esperança,40530,4 - 20001 até 50000,Não,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
3107208,3 - Sudeste,31,MG,Bocaina de Minas,5185,2 - 5001 até 10000,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
3107307,3 - Sudeste,31,MG,Bocaiúva,50168,5 - 50001 até 100000,Não,Não,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
3107406,3 - Sudeste,31,MG,Bom Despacho,50042,5 - 50001 até 100000,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Não,-,-,-,-,Não,Não,Não,Não,Não,Não
3107505,3 - Sudeste,31,MG,Bom Jardim de Minas,6644,2 - 5001 até 10000,Não,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,Não,Não,Sim,Não,Não,Não
3107604,3 - Sudeste,31,MG,Bom Jesus da Penha,4203,1 - Até 5000,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
3107703,3 - Sudeste,31,MG,Bom Jesus do Amparo,6018,2 - 5001 até 10000,Não,Não,Não,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Sim,Não,Sim,Não,Não,Não sabe,Não,Sim
3107802,3 - Sudeste,31,MG,Bom Jesus do Galho,15459,3 - 10001 até 20000,Não,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
3107901,3 - Sudeste,31,MG,Bom Repouso,10775,3 - 10001 até 20000,-,-,-,-,-,-,-,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,Não
3108008,3 - Sudeste,31,MG,Bom Sucesso,17907,3 - 10001 até 20000,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,-,-,-,-,Não,Não,Não,Não,Não,Não
3108107,3 - Sudeste,31,MG,Bonfim,7020,2 - 5001 até 10000,Não,Não,Sim,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Não,Não,Não
3108206,3 - Sudeste,31,MG,Bonfinópolis de Minas,5764,2 - 5001 até 10000,Não,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Não
3108255,3 - Sudeste,31,MG,Bonito de Minas,10951,3 - 10001 até 20000,Não,Não,Não,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
3108305,3 - Sudeste,31,MG,Borda da Mata,19055,3 - 10001 até 20000,Não,Não,Não,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Não,Não,Não
3108404,3 - Sudeste,31,MG,Botelhos,15322,3 - 10001 até 20000,Não,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
3108503,3 - Sudeste,31,MG,Botumirim,6540,2 - 5001 até 10000,-,-,-,-,-,-,-,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,-,-,-,-,Sim,Não,Sim,Não,Não,Não
3108552,3 - Sudeste,31,MG,Brasilândia de Minas,16105,3 - 10001 até 20000,Não,Não,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não sabe,Não,Não,Não
3108602,3 - Sudeste,31,MG,Brasília de Minas,32732,4 - 20001 até 50000,Não,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não
3108701,3 - Sudeste,31,MG,Brás Pires,4550,1 - Até 5000,Não,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
3108800,3 - Sudeste,31,MG,Braúnas,5003,2 - 5001 até 10000,Não,Não,Não,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Não sabe,Não sabe
3108909,3 - Sudeste,31,MG,Brazópolis,14889,3 - 10001 até 20000,Não,Não,Não,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Não,Sim,Sim,Não
3109006,3 - Sudeste,31,MG,Brumadinho,38863,4 - 20001 até 50000,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Sim,Não,Sim,Sim,Não
3109105,3 - Sudeste,31,MG,Bueno Brandão,11233,3 - 10001 até 20000,Não,Não,Não,Sim,Não,Sim,Não,Não,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não
3109204,3 - Sudeste,31,MG,Buenópolis,10594,3 - 10001 até 20000,Não,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Sim,Não,Sim,Não
