Município,Ano,Transferência,Valor Consolidado
Maripá de Minas,2017,FUNDEB,1790295.44
Marliéria,2017,FUNDEB,1531943.10
Marmelópolis,2017,FUNDEB,799408.00
Martinho Campos,2017,FUNDEB,4406504.07
Martins Soares,2017,FUNDEB,2761153.47
Mata Verde,2017,FUNDEB,3183191.28
Materlândia,2017,FUNDEB,1916478.34
Mateus Leme,2017,FUNDEB,11496074.40
Mathias Lobato,2017,FUNDEB,1885222.56
Matias Barbosa,2017,FUNDEB,3765358.53
Matias Cardoso,2017,FUNDEB,4244232.90
Matipó,2017,FUNDEB,3709382.86
Mato Verde,2017,FUNDEB,2641119.97
Matozinhos,2017,FUNDEB,10296022.48
Matutina,2017,FUNDEB,1233063.92
Medeiros,2017,FUNDEB,2032715.38
Medina,2017,FUNDEB,4746228.96
Mendes Pimentel,2017,FUNDEB,1651640.76
Mercês,2017,FUNDEB,3693179.09
Mesquita,2017,FUNDEB,1898251.97
Minas Novas,2017,FUNDEB,7583437.49
Minduri,2017,FUNDEB,1264185.74
Mirabela,2017,FUNDEB,3817424.57
Miradouro,2017,FUNDEB,3521390.37
Miraí,2017,FUNDEB,3389966.89
Miravânia,2017,FUNDEB,2426216.15
Moeda,2017,FUNDEB,1687642.01
Moema,2017,FUNDEB,1869419.11
Monjolos,2017,FUNDEB,632941.64
Monsenhor Paulo,2017,FUNDEB,2514976.24
Montalvânia,2017,FUNDEB,3241738.53
Monte Alegre de Minas,2017,FUNDEB,7113785.02
Monte Azul,2017,FUNDEB,3522232.60
Monte Belo,2017,FUNDEB,3742879.88
Monte Carmelo,2017,FUNDEB,9894004.31
Monte Formoso,2017,FUNDEB,1813394.60
Monte Santo de Minas,2017,FUNDEB,6366388.38
Monte Sião,2017,FUNDEB,10372528.78
Montes Claros,2017,FUNDEB,103998527.12
Montezuma,2017,FUNDEB,1936389.05
Morada Nova de Minas,2017,FUNDEB,4394491.76
Morro da Garça,2017,FUNDEB,1775528.87
Morro do Pilar,2017,FUNDEB,420463.47
Munhoz,2017,FUNDEB,1931464.66
Muriaé,2017,FUNDEB,29453147.44
Mutum,2017,FUNDEB,5678603.61
Muzambinho,2017,FUNDEB,5798447.10
Nacip Raydan,2017,FUNDEB,956964.56
Nanuque,2017,FUNDEB,7422396.07
Naque,2017,FUNDEB,2673607.29
Natalândia,2017,FUNDEB,1403658.10
Natércia,2017,FUNDEB,1507601.31
Nazareno,2017,FUNDEB,2481018.46
Nepomuceno,2017,FUNDEB,5728193.70
Ninheira,2017,FUNDEB,3106728.09
Nova Belém,2017,FUNDEB,1579894.98
Nova Era,2017,FUNDEB,5196019.63
Nova Lima,2017,FUNDEB,27656775.88
Nova Módica,2017,FUNDEB,1471985.79
Nova Ponte,2017,FUNDEB,7771037.07
Nova Porteirinha,2017,FUNDEB,2222142.26
Nova Resende,2017,FUNDEB,5932556.97
Nova Serrana,2017,FUNDEB,39482252.52
Nova União,2017,FUNDEB,1504746.47
Novo Cruzeiro,2017,FUNDEB,8318765.18
Novo Oriente de Minas,2017,FUNDEB,3348378.03
Novorizonte,2017,FUNDEB,2157831.46
Olaria,2017,FUNDEB,904888.95
Olhos-dÁgua,2017,FUNDEB,2145358.11
Olímpio Noronha,2017,FUNDEB,1233175.49
Oliveira,2017,FUNDEB,8738832.41
Oliveira Fortes,2017,FUNDEB,816658.43
Onça de Pitangui,2017,FUNDEB,703626.02
Oratórios,2017,FUNDEB,2887387.62
Orizânia,2017,FUNDEB,4104282.15
Ouro Branco,2017,FUNDEB,16337262.37
Ouro Fino,2017,FUNDEB,5279395.19
Ouro Preto,2017,FUNDEB,24004834.13
Ouro Verde de Minas,2017,FUNDEB,1610362.61
Padre Carvalho,2017,FUNDEB,1955319.03
Padre Paraíso,2017,FUNDEB,6662065.40
Pai Pedro,2017,FUNDEB,3310277.05
Paineiras,2017,FUNDEB,1209099.53
Pains,2017,FUNDEB,2222620.89
Paiva,2017,FUNDEB,593868.03
Palma,2017,FUNDEB,1472272.83
Palmópolis,2017,FUNDEB,1908281.54
Papagaios,2017,FUNDEB,4698005.86
Pará de Minas,2017,FUNDEB,26069897.26
Paracatu,2017,FUNDEB,28275689.92
Paraguaçu,2017,FUNDEB,6309746.37
Paraisópolis,2017,FUNDEB,5040434.27
Paraopeba,2017,FUNDEB,9135009.14
Passa Quatro,2017,FUNDEB,2407093.51
Passa Tempo,2017,FUNDEB,2163493.29
Passa-Vinte,2017,FUNDEB,986261.79
Passabém,2017,FUNDEB,251765.09
Passos,2017,FUNDEB,27164783.51
Patis,2017,FUNDEB,2827790.70
Patos de Minas,2017,FUNDEB,25631049.55
Patrocínio,2017,FUNDEB,22808448.01
Patrocínio do Muriaé,2017,FUNDEB,1375694.83
Paula Cândido,2017,FUNDEB,2499338.85
Paulistas,2017,FUNDEB,2131409.16
Pavão,2017,FUNDEB,1605772.73
Peçanha,2017,FUNDEB,3879932.22
Pedra Azul,2017,FUNDEB,8168997.19
Pedra Bonita,2017,FUNDEB,3667029.62
Pedra do Anta,2017,FUNDEB,875132.21
Pedra do Indaiá,2017,FUNDEB,1646726.41
Pedra Dourada,2017,FUNDEB,1735758.73
Pedralva,2017,FUNDEB,2981786.60
Pedras de Maria da Cruz,2017,FUNDEB,3024441.83
Pedrinópolis,2017,FUNDEB,1320323.15
Pedro Leopoldo,2017,FUNDEB,21328939.77
Pedro Teixeira,2017,FUNDEB,896719.31
Pequeri,2017,FUNDEB,1754024.93
Pequi,2017,FUNDEB,1280853.84
Perdigão,2017,FUNDEB,4346108.32
Perdizes,2017,FUNDEB,6171256.02
Perdões,2017,FUNDEB,5217006.80
Periquito,2017,FUNDEB,5019667.15
Pescador,2017,FUNDEB,1281804.98
Piau,2017,FUNDEB,672003.03
Piedade de Caratinga,2017,FUNDEB,3288033.68
Piedade de Ponte Nova,2017,FUNDEB,1550279.89
