Municipios,Creche Integral,Creche Parcial,Pré-Escola Integral,Pré-Escola Parcial,Sér. Iniciais Urbana,Sér. Iniciais Rural,Sér. Finais Urbana,Sér. Finais Rural,Tempo Integral,Urbano,Rural,Tempo Integral,Integ. a Ed. Prof.,Educação Especial,AEE,Aval. no Proc.,Integ. à Ed. Prof. de nível médio,Educação Indigena/Quilombola,Creche Integral,Creche Parcial,Pré-Escola Integral,Pré-Escola Parcial,Ed. Especial,Ensino Fund. Sér. Finais Rural,Ensino Médio Rural,Ensino Médio Integ. à Ed. Prof.,Ed. Indíg./ Quil.,EJA - Aval. no Proc.,EJA - Int Ed. Profis. de Nível Médio
Baldim,0.00,50.00,0.00,186.00,447.00,132.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bambuí,0.00,31.00,0.00,273.00,675.00,124.00,0.00,90.00,34.00,0.00,0.00,0.00,0.00,47.00,32.00,23.00,0.00,0.00,167.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bandeira,0.00,31.00,0.00,85.00,239.00,83.00,0.00,64.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bandeira do Sul,119.00,0.00,0.00,175.00,304.00,0.00,0.00,0.00,103.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Barão de Cocais,0.00,169.00,0.00,686.00,"1,705.00",107.00,686.00,0.00,74.00,0.00,0.00,0.00,0.00,158.00,38.00,19.00,0.00,0.00,0.00,52.00,0.00,0.00,33.50,0.00,0.00,0.00,0.00,0.00,0.00
Barão de Monte Alto,105.00,0.00,0.00,130.00,287.00,37.00,42.00,0.00,45.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Barbacena,53.00,308.00,0.00,"1,305.00","2,421.00",319.00,"1,075.00",132.00,389.00,0.00,0.00,0.00,0.00,279.00,138.00,19.00,0.00,93.00,126.00,24.00,234.00,62.00,113.00,0.00,0.00,0.00,0.00,0.00,0.00
Barra Longa,0.00,33.00,0.00,115.00,0.00,139.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Barroso,236.00,57.00,0.00,493.00,851.00,0.00,0.00,0.00,198.00,0.00,0.00,0.00,0.00,8.00,4.00,51.00,0.00,0.00,0.00,0.00,0.00,0.00,54.50,0.00,0.00,0.00,0.00,0.00,0.00
Bela Vista de Minas,0.00,126.00,0.00,241.00,440.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,46.00,0.00,0.00,0.00,0.00,0.00,0.00
Belmiro Braga,0.00,0.00,0.00,71.00,53.00,114.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,8.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Belo Horizonte,"5,516.00","11,529.00",766.00,"19,758.00","32,541.00",0.00,"33,887.00",0.00,"45,385.00",0.00,0.00,0.00,0.00,"3,337.00","1,057.00","15,082.00",0.00,0.00,"11,557.00",400.00,"9,984.00","1,085.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
Belo Oriente,0.00,450.00,0.00,733.00,"1,702.00",91.00,786.00,47.00,0.00,0.00,0.00,0.00,0.00,129.00,45.00,151.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Belo Vale,0.00,53.00,0.00,150.00,374.00,117.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Berilo,109.00,0.00,0.00,130.00,0.00,137.00,0.00,41.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,185.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Berizal,31.00,0.00,0.00,127.00,271.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bertópolis,0.00,0.00,0.00,84.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Betim,"2,117.00",452.00,116.00,"2,828.00","20,442.00",159.00,"16,087.00",0.00,"2,158.00",0.00,0.00,0.00,0.00,"1,047.00",792.00,"3,109.00",0.00,0.00,"2,081.00","1,424.00",288.00,"4,924.00",83.00,0.00,0.00,0.00,0.00,0.00,0.00
Bias Fortes,0.00,0.00,0.00,62.00,64.00,48.00,0.00,0.00,47.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bicas,42.00,81.00,41.00,223.00,586.00,17.00,266.00,0.00,125.00,0.00,0.00,0.00,0.00,33.00,16.00,131.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Biquinhas,36.00,0.00,0.00,54.00,121.00,0.00,66.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Boa Esperança,754.00,0.00,38.00,882.00,986.00,250.00,0.00,221.00,0.00,0.00,0.00,0.00,0.00,160.00,47.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bocaina de Minas,0.00,0.00,0.00,65.00,144.00,76.00,201.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,10.50,0.00,0.00,0.00,0.00,0.00,0.00
Bocaiúva,323.00,389.00,44.00,978.00,568.00,331.00,402.00,182.00,51.00,0.00,0.00,0.00,0.00,20.00,0.00,15.00,0.00,0.00,128.00,94.00,47.00,113.00,91.00,0.00,0.00,0.00,0.00,0.00,0.00
Bom Despacho,770.00,134.00,0.00,"1,007.00","1,327.00",55.00,0.00,53.00,111.00,0.00,0.00,0.00,0.00,26.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00
Bom Jardim de Minas,0.00,0.00,0.00,187.00,398.00,33.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
