Municipios,Creche Integral,Creche Parcial,Pré-Escola Integral,Pré-Escola Parcial,Sér. Iniciais Urbana,Sér. Iniciais Rural,Sér. Finais Urbana,Sér. Finais Rural,Tempo Integral,Urbano,Rural,Tempo Integral,Integ. a Ed. Prof.,Educação Especial,AEE,Aval. no Proc.,Integ. à Ed. Prof. de nível médio,Educação Indigena/Quilombola,Creche Integral,Creche Parcial,Pré-Escola Integral,Pré-Escola Parcial,Ed. Especial,Ensino Fund. Sér. Finais Rural,Ensino Médio Rural,Ensino Médio Integ. à Ed. Prof.,Ed. Indíg./ Quil.,EJA - Aval. no Proc.,EJA - Int Ed. Profis. de Nível Médio
Grupiara,0.00,16.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guanhães,150.00,0.00,0.00,772.00,"1,046.00",173.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.00,0.00,54.00,0.00,0.00,159.00,0.00,0.00,0.00,62.00,0.00,0.00,0.00,0.00,0.00,0.00
Guapé,133.00,18.00,1.00,290.00,255.00,110.00,0.00,179.00,143.00,0.00,0.00,0.00,0.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.00,0.00,0.00,0.00,0.00,0.00,0.00
Guaraciaba,0.00,46.00,0.00,178.00,0.00,181.00,0.00,64.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guaraciama,63.00,0.00,0.00,126.00,362.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guaranésia,175.00,0.00,0.00,367.00,594.00,31.00,310.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00,18.00,78.00,0.00,0.00,0.00,0.00,0.00,0.00,28.50,0.00,0.00,0.00,0.00,0.00,0.00
Guarani,95.00,0.00,0.00,202.00,376.00,0.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,55.00,30.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00
Guarará,0.00,0.00,0.00,82.00,128.00,0.00,208.00,0.00,126.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guarda-Mor,82.00,0.00,0.00,201.00,452.00,46.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.50,0.00,0.00,0.00,0.00,0.00,0.00
Guaxupé,298.00,0.00,104.00,748.00,"1,744.00",163.00,0.00,0.00,356.00,0.00,0.00,0.00,0.00,137.00,83.00,143.00,0.00,0.00,454.00,71.00,167.00,83.00,29.50,0.00,0.00,0.00,0.00,0.00,0.00
Guidoval,0.00,83.00,0.00,151.00,0.00,0.00,0.00,0.00,333.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guimarânia,24.00,34.00,19.00,145.00,404.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.50,0.00,0.00,0.00,0.00,0.00,0.00
Guiricema,0.00,0.00,0.00,156.00,180.00,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gurinhatã,46.00,0.00,0.00,81.00,322.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Heliodora,63.00,17.00,0.00,133.00,351.00,16.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Iapu,99.00,31.00,0.00,261.00,370.00,71.00,0.00,0.00,106.00,0.00,0.00,0.00,0.00,14.00,0.00,102.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ibertioga,0.00,0.00,0.00,104.00,332.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ibiá,110.00,165.00,0.00,571.00,"1,039.00",137.00,101.00,77.00,0.00,0.00,0.00,0.00,0.00,84.00,0.00,46.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ibiaí,132.00,20.00,0.00,231.00,368.00,189.00,0.00,28.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ibiracatu,53.00,44.00,0.00,162.00,147.00,119.00,96.00,52.00,46.00,0.00,0.00,0.00,0.00,24.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ibiraci,85.00,0.00,0.00,301.00,350.00,73.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ibirité,0.00,671.00,0.00,"2,841.00","8,180.00",0.00,"4,143.00",0.00,0.00,0.00,0.00,0.00,0.00,238.00,41.00,354.00,0.00,0.00,623.00,46.00,184.00,151.00,219.00,0.00,0.00,0.00,0.00,0.00,0.00
Ibitiúra de Minas,57.00,0.00,0.00,73.00,200.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,3.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ibituruna,0.00,82.00,0.00,59.00,182.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Icaraí de Minas,99.00,0.00,0.00,302.00,301.00,162.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Igarapé,254.00,531.00,0.00,938.00,"2,268.00",0.00,0.00,0.00,116.00,0.00,0.00,0.00,0.00,94.00,67.00,83.00,0.00,0.00,0.00,8.00,0.00,24.00,61.50,0.00,0.00,0.00,0.00,0.00,0.00
Igaratinga,0.00,105.00,0.00,256.00,532.00,89.00,0.00,0.00,71.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Iguatama,34.00,0.00,0.00,113.00,270.00,13.00,0.00,0.00,92.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.50,0.00,0.00,0.00,0.00,0.00,0.00
Ijaci,0.00,0.00,0.00,155.00,424.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ilicínea,55.00,20.00,0.00,213.00,461.00,0.00,330.00,0.00,0.00,0.00,0.00,0.00,0.00,66.00,11.00,0.00,0.00,0.00,108.00,0.00,49.00,0.00,25.50,0.00,0.00,0.00,0.00,0.00,0.00
Imbé de Minas,0.00,0.00,0.00,147.00,281.00,203.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Inconfidentes,40.00,52.00,0.00,144.00,278.00,63.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,19.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Indaiabira,125.00,0.00,0.00,161.00,187.00,170.00,0.00,82.00,15.00,0.00,0.00,0.00,0.00,3.00,0.00,113.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Indianópolis,93.00,19.00,0.00,162.00,369.00,90.00,315.00,75.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ingaí,0.00,22.00,0.00,64.00,184.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Inhapim,141.00,0.00,0.00,478.00,311.00,540.00,0.00,75.00,46.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00
Inhaúma,0.00,58.00,0.00,153.00,364.00,109.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Inimutaba,0.00,69.00,0.00,149.00,262.00,37.00,0.00,0.00,179.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ipaba,0.00,0.00,0.00,459.00,659.00,40.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,9.00,5.00,0.00,0.00,0.00,60.00,0.00,9.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ipanema,100.00,0.00,0.00,363.00,532.00,78.00,256.00,41.00,100.00,0.00,0.00,0.00,0.00,24.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00
Ipatinga,417.00,0.00,9.00,"2,713.00","5,661.00",26.00,"4,495.00",0.00,"4,442.00",0.00,0.00,0.00,0.00,363.00,235.00,"1,202.00",0.00,0.00,"2,078.00",0.00,10.00,"1,001.00",138.50,0.00,0.00,0.00,0.00,0.00,0.00
Ipiaçu,53.00,36.00,0.00,81.00,205.00,0.00,102.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,31.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ipuiúna,144.00,0.00,0.00,183.00,440.00,61.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.50,0.00,0.00,0.00,0.00,0.00,0.00
Iraí de Minas,110.00,0.00,80.00,82.00,408.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,87.00,0.00,0.00,0.00,0.00,0.00,0.00
Itabira,285.00,0.00,0.00,"1,914.00","4,722.00",303.00,"1,299.00",0.00,15.00,0.00,0.00,0.00,0.00,233.00,128.00,176.00,0.00,0.00,708.00,65.00,0.00,90.00,148.00,0.00,0.00,0.00,0.00,0.00,0.00
Itabirinha,25.00,62.00,0.00,289.00,508.00,141.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Itabirito,413.00,242.00,0.00,"1,062.00","2,209.00",115.00,"1,701.00",0.00,255.00,0.00,0.00,0.00,0.00,54.00,18.00,244.00,0.00,0.00,74.00,33.00,0.00,62.00,88.50,0.00,0.00,0.00,0.00,0.00,0.00
Itacambira,0.00,62.00,0.00,87.00,167.00,34.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Itacarambi,430.00,0.00,358.00,164.00,"1,036.00",173.00,943.00,140.00,0.00,0.00,0.00,0.00,0.00,38.00,7.00,158.00,0.00,0.00,0.00,0.00,0.00,0.00,53.00,0.00,0.00,0.00,0.00,0.00,0.00
Itaguara,0.00,0.00,0.00,240.00,393.00,66.00,0.00,0.00,98.00,0.00,0.00,0.00,0.00,28.00,16.00,13.00,0.00,0.00,100.00,0.00,0.00,27.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00
Itaipé,0.00,0.00,0.00,127.00,266.00,454.00,507.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,9.00,79.00,0.00,0.00,116.00,0.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Itajubá,760.00,0.00,0.00,"1,549.00","3,024.00",362.00,0.00,0.00,316.00,0.00,0.00,0.00,0.00,189.00,160.00,44.00,0.00,0.00,284.00,0.00,0.00,0.00,204.00,0.00,0.00,0.00,0.00,0.00,0.00
Itamarandiba,447.00,58.00,0.00,828.00,862.00,289.00,251.00,78.00,297.00,0.00,0.00,0.00,0.00,41.00,0.00,101.00,0.00,60.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00
Itamarati de Minas,29.00,43.00,0.00,114.00,180.00,23.00,179.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Itambacuri,176.00,95.00,199.00,364.00,77.00,230.00,155.00,387.00,479.00,0.00,0.00,0.00,0.00,29.00,0.00,23.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Itambé do Mato Dentro,0.00,0.00,0.00,45.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Itamogi,105.00,0.00,35.00,226.00,344.00,0.00,0.00,0.00,231.00,0.00,0.00,0.00,0.00,34.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Itamonte,33.00,0.00,0.00,267.00,674.00,133.00,179.00,50.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,7.00,0.00,0.00,62.00,0.00,0.00,0.00,46.50,0.00,0.00,0.00,0.00,0.00,0.00
Itanhandu,173.00,72.00,76.00,166.00,465.00,1.00,0.00,0.00,87.00,0.00,0.00,0.00,0.00,7.00,1.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,58.00,0.00,0.00,0.00,0.00,0.00,0.00
Itanhomi,263.00,34.00,0.00,341.00,746.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,7.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Itaobim,0.00,236.00,0.00,429.00,451.00,307.00,177.00,126.00,0.00,0.00,0.00,0.00,0.00,42.00,25.00,91.00,0.00,0.00,0.00,34.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Itapagipe,219.00,0.00,94.00,179.00,568.00,15.00,0.00,19.00,90.00,0.00,0.00,0.00,0.00,40.00,39.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,49.00,0.00,0.00,0.00,0.00,0.00,0.00
Itapecerica,24.00,0.00,0.00,352.00,438.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,4.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Itapeva,141.00,0.00,121.00,171.00,479.00,191.00,241.00,237.00,19.00,0.00,0.00,0.00,0.00,18.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Itatiaiuçu,0.00,46.00,0.00,313.00,336.00,117.00,237.00,128.00,223.00,0.00,0.00,0.00,0.00,34.00,0.00,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Itaú de Minas,65.00,102.00,89.00,225.00,858.00,0.00,646.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,9.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00
Itaúna,368.00,0.00,78.00,"1,307.00","1,726.00",177.00,334.00,0.00,856.00,0.00,0.00,0.00,0.00,90.00,76.00,37.00,0.00,0.00,215.00,15.00,32.00,30.00,203.00,0.00,0.00,0.00,0.00,0.00,0.00
Itaverava,0.00,39.00,0.00,107.00,0.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,15.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Itinga,0.00,16.00,0.00,365.00,104.00,145.00,0.00,3.00,617.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Itueta,42.00,0.00,0.00,124.00,137.00,120.00,114.00,73.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ituiutaba,169.00,64.00,381.00,"1,009.00","2,213.00",150.00,"1,260.00",95.00,542.00,0.00,0.00,0.00,0.00,292.00,127.00,204.00,0.00,0.00,958.00,2.00,395.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Itumirim,0.00,0.00,0.00,153.00,221.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Iturama,219.00,18.00,0.00,784.00,"1,842.00",0.00,330.00,36.00,195.00,0.00,0.00,0.00,0.00,148.00,53.00,70.00,0.00,0.00,181.00,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00
Itutinga,0.00,49.00,0.00,82.00,133.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jaboticatubas,0.00,0.00,0.00,355.00,977.00,157.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jacinto,133.00,0.00,0.00,244.00,836.00,61.00,0.00,39.00,0.00,0.00,0.00,0.00,0.00,20.00,11.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jacuí,0.00,0.00,0.00,189.00,512.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,67.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jacutinga,367.00,30.00,0.00,514.00,727.00,146.00,861.00,0.00,16.00,0.00,0.00,0.00,0.00,16.00,0.00,118.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00
Jaguaraçu,34.00,14.00,0.00,83.00,171.00,8.00,134.00,0.00,37.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jaíba,0.00,394.00,0.00,"1,161.00",715.00,324.00,0.00,198.00,102.00,0.00,0.00,0.00,0.00,14.00,0.00,0.00,0.00,170.00,0.00,0.00,0.00,0.00,33.50,0.00,0.00,0.00,0.00,0.00,0.00
Jampruca,0.00,29.00,0.00,124.00,297.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Janaúba,787.00,635.00,506.00,"1,130.00","1,194.00",120.00,228.00,86.00,250.00,0.00,0.00,0.00,0.00,168.00,123.00,123.00,0.00,929.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Januária,128.00,473.00,131.00,"1,378.00",607.00,843.00,355.00,387.00,0.00,0.00,0.00,0.00,0.00,85.00,25.00,46.00,0.00,656.00,0.00,0.00,0.00,0.00,46.50,0.00,0.00,0.00,0.00,0.00,0.00
Japaraíba,58.00,0.00,0.00,116.00,172.00,56.00,44.00,62.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Japonvar,46.00,73.00,0.00,211.00,137.00,189.00,126.00,167.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,78.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jeceaba,57.00,44.00,11.00,111.00,250.00,106.00,245.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,81.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jenipapo de Minas,0.00,77.00,0.00,154.00,0.00,242.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jequeri,198.00,0.00,0.00,275.00,371.00,105.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jequitaí,38.00,60.00,0.00,170.00,335.00,50.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
Jequitibá,0.00,23.00,0.00,134.00,0.00,217.00,0.00,185.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jequitinhonha,24.00,257.00,0.00,462.00,470.00,290.00,0.00,157.00,161.00,0.00,0.00,0.00,0.00,25.00,6.00,63.00,0.00,34.00,0.00,15.00,0.00,16.00,23.50,0.00,0.00,0.00,0.00,0.00,0.00
Jesuânia,0.00,0.00,0.00,95.00,270.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Joaíma,204.00,0.00,303.00,0.00,284.00,261.00,2.00,131.00,670.00,0.00,0.00,0.00,0.00,3.00,0.00,55.00,0.00,38.00,0.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00
Joanésia,0.00,0.00,0.00,75.00,174.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
João Monlevade,564.00,0.00,34.00,"1,199.00","1,859.00",0.00,"1,915.00",0.00,142.00,0.00,0.00,0.00,0.00,126.00,79.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00
João Pinheiro,241.00,14.00,0.00,968.00,148.00,584.00,147.00,316.00,176.00,0.00,0.00,0.00,0.00,37.00,3.00,84.00,0.00,8.00,0.00,6.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Joaquim Felício,70.00,0.00,0.00,73.00,290.00,0.00,238.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jordânia,80.00,40.00,0.00,230.00,86.00,41.00,113.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,49.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
José Gonçalves de Minas,0.00,98.00,0.00,115.00,0.00,144.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
José Raydan,12.00,14.00,0.00,114.00,167.00,138.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00
Josenópolis,70.00,0.00,0.00,74.00,315.00,92.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Juatuba,307.00,0.00,81.00,710.00,"1,731.00",0.00,"1,549.00",0.00,413.00,0.00,0.00,0.00,0.00,98.00,46.00,267.00,0.00,0.00,0.00,0.00,0.00,0.00,56.00,0.00,0.00,0.00,0.00,0.00,0.00
Juiz de Fora,"2,528.00",247.00,924.00,"5,618.00","12,139.00",559.00,"7,868.00",444.00,"3,279.00",0.00,0.00,0.00,0.00,732.00,422.00,"2,617.00",0.00,0.00,"1,363.00",222.00,355.00,481.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Juramento,0.00,51.00,0.00,97.00,139.00,58.00,0.00,0.00,83.00,0.00,0.00,0.00,0.00,7.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Juruaia,156.00,0.00,0.00,216.00,598.00,47.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Juvenília,24.00,36.00,0.00,161.00,320.00,51.00,146.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ladainha,78.00,67.00,58.00,281.00,0.00,775.00,0.00,247.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lagamar,57.00,62.00,0.00,116.00,251.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,8.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lagoa da Prata,402.00,0.00,0.00,997.00,985.00,0.00,0.00,0.00,277.00,0.00,0.00,0.00,0.00,64.00,0.00,0.00,0.00,0.00,111.00,0.00,49.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lagoa dos Patos,70.00,0.00,0.00,101.00,302.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
